transaction_id,user_id,account_id,amount,currency,transaction_type,merchant_id,beneficiary_id,device_id,ip_address_hash,location,timestamp,is_fraud,scenario
TX10275,USR_1020,ACC_2020,3290.82,USD,WIRE,MER_220,BEN_NEW_9896,DEV_ATO_5661,871f25503c796413,Unknown / Proxy IP,2026-08-25 19:14:06.269031+00:00,1,C
TX10102,USR_1040,ACC_2040,433.17,USD,WIRE,MER_209,BEN_NEW_9578,DEV_ATO_8876,aa002100d6705e67,Unknown / Proxy IP,2026-08-25 19:15:06.269031+00:00,1,C
TX11116,USR_1153,ACC_2153,69.48,USD,CARD,MER_269,BEN_526,DEV_730,ba2e33cde981ff14,"New York, US",2026-08-25 19:16:06.269031+00:00,0,A
TX10002,USR_1113,ACC_2113,157.16,USD,WIRE,MER_373,BEN_885,DEV_838,98eccdccd122648d,"London, UK",2026-08-25 19:20:06.269031+00:00,0,A
TX10254,USR_1111,ACC_2111,1056.0,USD,WIRE,MER_215,BEN_NEW_9835,DEV_ATO_9637,8ad5f04f8f7ced39,Unknown / Proxy IP,2026-08-25 19:21:06.269031+00:00,1,C
TX10192,USR_1047,ACC_2047,5182.55,USD,WIRE,MER_254,BEN_NEW_8275,DEV_ATO_9509,ad914acb981549d6,Unknown / Proxy IP,2026-08-25 19:24:06.269031+00:00,1,C
TX10218,USR_1073,ACC_2073,1669.69,USD,WIRE,MER_128,BEN_NEW_8133,DEV_ATO_7660,135f7e74f49696fe,Unknown / Proxy IP,2026-08-25 19:25:06.269031+00:00,1,C
TX10396,USR_1117,ACC_2117,923.04,USD,WIRE,MER_329,BEN_NEW_8182,DEV_ATO_8513,13c50090d19fdd2c,Unknown / Proxy IP,2026-08-25 19:26:06.269031+00:00,1,C
TX10662,USR_1222,ACC_2222,43.5,USD,WIRE,MER_353,BEN_830,DEV_310,0320c343468f3a66,"Sydney, AU",2026-08-25 19:27:06.269031+00:00,0,A
TX10810,USR_1072,ACC_2072,833.18,USD,P2P,MER_135,BEN_820,DEV_NEW_2261,ee002e7632564a9f,"Tokyo, JP",2026-08-25 19:42:06.269031+00:00,0,B
TX10134,USR_1036,ACC_2036,87.96,USD,ACH,MER_343,BEN_615,DEV_779,84da049c89fa3fcd,"London, UK",2026-08-25 19:42:06.269031+00:00,0,A
TX10343,USR_1296,ACC_2296,39.18,USD,ACH,MER_395,BEN_944,DEV_215,98eccdccd122648d,"Tokyo, JP",2026-08-25 19:44:06.269031+00:00,0,A
TX10164,USR_1080,ACC_2080,98.37,USD,WIRE,MER_163,BEN_702,DEV_244,15286ec96ebfbae1,"Sydney, AU",2026-08-25 19:53:06.269031+00:00,0,A
TX10028,USR_1078,ACC_2078,109.62,USD,P2P,MER_146,BEN_903,DEV_743,ea138d321b39fb53,"New York, US",2026-08-25 20:04:06.269031+00:00,0,A
TX11065,USR_1191,ACC_2191,52.03,USD,WIRE,MER_253,BEN_585,DEV_801,5b58332294cb63d5,"Tokyo, JP",2026-08-25 20:04:06.269031+00:00,0,A
TX10025,USR_1144,ACC_2144,79.89,USD,WIRE,MER_119,BEN_760,DEV_913,1738decb44c32509,"Tokyo, JP",2026-08-25 20:06:06.269031+00:00,0,A
TX10327,USR_1125,ACC_2125,45.54,USD,CARD,MER_192,BEN_717,DEV_608,9d968dc522301427,"Toronto, CA",2026-08-25 20:14:06.269031+00:00,0,A
TX10024,USR_1124,ACC_2124,5.0,USD,WIRE,MER_297,BEN_909,DEV_899,b4895ee1beb11ace,"Tokyo, JP",2026-08-25 20:37:06.269031+00:00,0,A
TX10410,USR_1253,ACC_2253,557.97,USD,P2P,MER_213,BEN_CAR_DEALER_192,DEV_UPGRADE_3866,017862b631264848,"Toronto, CA",2026-08-25 20:39:06.269031+00:00,0,E
TX10085,USR_1277,ACC_2277,252.62,USD,P2P,MER_263,BEN_623,DEV_828,13d2e495037fc7ea,"London, UK",2026-08-25 20:42:06.269031+00:00,0,A
TX10159,USR_1269,ACC_2269,18.02,USD,WIRE,MER_264,BEN_568,DEV_963,f73871d4716ca547,"New York, US",2026-08-25 20:45:06.269031+00:00,0,A
TX10903,USR_1055,ACC_2055,155.05,USD,CARD,MER_106,BEN_944,DEV_380,41be1af591f90cd7,"Tokyo, JP",2026-08-25 20:48:06.269031+00:00,0,A
TX11182,USR_1117,ACC_2117,76.23,USD,P2P,MER_171,BEN_519,DEV_201,cc37dbb565d122a4,"London, UK",2026-08-25 20:48:06.269031+00:00,0,A
TX10209,USR_1239,ACC_2239,164.83,USD,CARD,MER_282,BEN_927,DEV_192,8b7c8c2ee21f71d6,"Toronto, CA",2026-08-25 20:50:06.269031+00:00,0,A
TX11968,USR_1055,ACC_2055,166.07,USD,CARD,MER_152,BEN_826,DEV_380,747453dffe2e3b17,"Tokyo, JP",2026-08-25 20:54:06.269031+00:00,0,A
TX10874,USR_1072,ACC_2072,82.75,USD,ACH,MER_135,BEN_867,DEV_738,ee002e7632564a9f,"Tokyo, JP",2026-08-25 21:00:06.269031+00:00,0,A
TX10160,USR_1138,ACC_2138,137.59,USD,P2P,MER_312,BEN_537,DEV_350,8d45592dae9f59a0,"Tokyo, JP",2026-08-25 21:04:06.269031+00:00,0,A
TX10117,USR_1074,ACC_2074,52.78,USD,WIRE,MER_398,BEN_589,DEV_249,cce06b3c7fc49509,"London, UK",2026-08-25 21:10:06.269031+00:00,0,A
TX10202,USR_1211,ACC_2211,17.94,USD,WIRE,MER_265,BEN_679,DEV_730,1c69e66247a30c97,"London, UK",2026-08-25 21:10:06.269031+00:00,0,A
TX10924,USR_1209,ACC_2209,21.98,USD,WIRE,MER_211,BEN_868,DEV_686,19cd5e10192a7982,"Tokyo, JP",2026-08-25 21:20:06.269031+00:00,0,A
TX10262,USR_1206,ACC_2206,85.12,USD,ACH,MER_195,BEN_647,DEV_598,19d4d2715c5c7f3a,"London, UK",2026-08-25 21:39:06.269031+00:00,0,A
TX10044,USR_1039,ACC_2039,62.14,USD,CARD,MER_240,BEN_632,DEV_661,b60f32873a6a1158,"Sydney, AU",2026-08-25 21:50:06.269031+00:00,0,A
TX10082,USR_1175,ACC_2175,45.25,USD,ACH,MER_382,BEN_856,DEV_316,2f1a03b6b66eb09f,"New York, US",2026-08-25 21:51:06.269031+00:00,0,A
TX10098,USR_1228,ACC_2228,77.93,USD,P2P,MER_368,BEN_960,DEV_480,50966cad90e19486,"Tokyo, JP",2026-08-25 21:56:06.269031+00:00,0,A
TX10580,USR_1246,ACC_2246,5.0,USD,WIRE,MER_129,BEN_805,DEV_452,192b972b0eadbc2d,"London, UK",2026-08-25 21:59:06.269031+00:00,0,A
TX10264,USR_1174,ACC_2174,85.69,USD,P2P,MER_345,BEN_800,DEV_486,0cc746ed483b6373,"New York, US",2026-08-25 22:00:06.269031+00:00,0,A
TX10151,USR_1134,ACC_2134,133.67,USD,P2P,MER_365,BEN_994,DEV_231,fcac5511c1942848,"Toronto, CA",2026-08-25 22:10:06.269031+00:00,0,A
TX10194,USR_1270,ACC_2270,221.62,USD,P2P,MER_306,BEN_763,DEV_552,3631663658218087,"Sydney, AU",2026-08-25 22:15:06.269031+00:00,0,A
TX10170,USR_1074,ACC_2074,48.99,USD,WIRE,MER_398,BEN_540,DEV_249,167806ab11382ccb,"London, UK",2026-08-25 22:15:06.269031+00:00,0,A
TX10107,USR_1116,ACC_2116,120.39,USD,P2P,MER_291,BEN_757,DEV_327,0afa7d2175280287,"New York, US",2026-08-25 22:19:06.269031+00:00,0,A
TX10754,USR_1053,ACC_2053,77.93,USD,CARD,MER_194,BEN_869,DEV_863,384061d4871fda2e,"Tokyo, JP",2026-08-25 22:19:06.269031+00:00,0,A
TX10075,USR_1035,ACC_2035,27.67,USD,WIRE,MER_143,BEN_726,DEV_411,366dd80803ad332d,"Toronto, CA",2026-08-25 22:20:06.269031+00:00,0,A
TX10225,USR_1031,ACC_2031,61.73,USD,ACH,MER_159,BEN_980,DEV_385,ee85905019f3301c,"Tokyo, JP",2026-08-25 22:21:06.269031+00:00,0,A
TX10000,USR_1000,ACC_2000,99.2,USD,WIRE,MER_115,BEN_846,DEV_125,e5b5a7e8cd8467b3,"London, UK",2026-08-25 22:22:06.269031+00:00,0,A
TX10146,USR_1295,ACC_2295,5.0,USD,WIRE,MER_294,BEN_592,DEV_964,4263555a333d9831,"Toronto, CA",2026-08-25 22:31:06.269031+00:00,0,A
TX11159,USR_1191,ACC_2191,24.41,USD,ACH,MER_241,BEN_585,DEV_801,5b58332294cb63d5,"Tokyo, JP",2026-08-25 22:31:06.269031+00:00,0,A
TX10368,USR_1250,ACC_2250,67.29,USD,ACH,MER_111,BEN_910,DEV_439,10c7ba9ad4f55369,"London, UK",2026-08-25 22:40:06.269031+00:00,0,A
TX10007,USR_1065,ACC_2065,64.25,USD,P2P,MER_162,BEN_781,DEV_155,d04e3cabd94c53fe,"Sydney, AU",2026-08-25 22:48:06.269031+00:00,0,A
TX10103,USR_1042,ACC_2042,82.94,USD,WIRE,MER_272,BEN_749,DEV_405,070ff06ec268ff91,"Sydney, AU",2026-08-25 22:48:06.269031+00:00,0,A
TX10138,USR_1218,ACC_2218,106.32,USD,ACH,MER_316,BEN_918,DEV_318,55488a4c24a30597,"London, UK",2026-08-25 22:49:06.269031+00:00,0,A
TX10016,USR_1000,ACC_2000,7663.31,USD,P2P,MER_144,BEN_RING_777,DEV_RING_999,fd5dc3897b156800,"London, UK",2026-08-25 22:53:06.269031+00:00,1,D
TX10161,USR_1184,ACC_2184,5.0,USD,CARD,MER_208,BEN_770,DEV_184,4a1afa885aeef4cc,"Tokyo, JP",2026-08-25 22:56:06.269031+00:00,0,A
TX10059,USR_1067,ACC_2067,28.08,USD,CARD,MER_174,BEN_733,DEV_610,f80d4ec22628293a,"Tokyo, JP",2026-08-25 22:58:06.269031+00:00,0,A
TX10208,USR_1067,ACC_2067,679.27,USD,WIRE,MER_197,BEN_NEW_9785,DEV_ATO_5360,55703d34792df347,Unknown / Proxy IP,2026-08-25 23:02:06.269031+00:00,1,C
TX10156,USR_1043,ACC_2043,121.49,USD,CARD,MER_113,BEN_964,DEV_269,a13bd63118e22736,"Toronto, CA",2026-08-25 23:06:06.269031+00:00,0,A
TX10655,USR_1276,ACC_2276,82.86,USD,WIRE,MER_241,BEN_746,DEV_204,91d6156537789a5f,"Tokyo, JP",2026-08-25 23:17:06.269031+00:00,0,A
TX10767,USR_1296,ACC_2296,38.72,USD,CARD,MER_214,BEN_860,DEV_215,98eccdccd122648d,"Tokyo, JP",2026-08-25 23:20:06.269031+00:00,0,A
TX10863,USR_1053,ACC_2053,93.1,USD,P2P,MER_194,BEN_618,DEV_663,384061d4871fda2e,"Tokyo, JP",2026-08-25 23:36:06.269031+00:00,0,A
TX10498,USR_1033,ACC_2033,108.63,USD,WIRE,MER_359,BEN_535,DEV_632,46aa30724ea1e038,"London, UK",2026-08-25 23:36:06.269031+00:00,0,A
TX10039,USR_1005,ACC_2005,4383.39,USD,P2P,MER_183,BEN_RING_777,DEV_RING_999,fd5dc3897b156800,"New York, US",2026-08-25 23:38:06.269031+00:00,1,D
TX10214,USR_1025,ACC_2025,167.98,USD,CARD,MER_228,BEN_936,DEV_378,2488659b8d6070e6,"Tokyo, JP",2026-08-25 23:42:06.269031+00:00,0,A
TX10108,USR_1005,ACC_2005,92.44,USD,ACH,MER_294,BEN_873,DEV_479,18245baac911d82f,"New York, US",2026-08-25 23:43:06.269031+00:00,0,A
TX10558,USR_1058,ACC_2058,84.51,USD,WIRE,MER_382,BEN_838,DEV_724,fbabd4fed7536e51,"London, UK",2026-08-25 23:55:06.269031+00:00,0,A
TX10168,USR_1103,ACC_2103,30.41,USD,WIRE,MER_278,BEN_586,DEV_505,3bd6c9e1e86aa4e1,"London, UK",2026-08-25 23:58:06.269031+00:00,0,A
TX10068,USR_1203,ACC_2203,156.85,USD,CARD,MER_195,BEN_946,DEV_385,7f425fb15ab04329,"New York, US",2026-08-25 23:58:06.269031+00:00,0,A
TX10299,USR_1104,ACC_2104,210.91,USD,WIRE,MER_138,BEN_588,DEV_844,4945799b02508963,"New York, US",2026-08-25 23:59:06.269031+00:00,0,A
TX10295,USR_1007,ACC_2007,8452.87,USD,P2P,MER_375,BEN_RING_777,DEV_RING_999,fd5dc3897b156800,"Sydney, AU",2026-08-25 23:59:06.269031+00:00,1,D
TX10313,USR_1255,ACC_2255,72.32,USD,P2P,MER_185,BEN_524,DEV_355,1737b49d2dc116c6,"New York, US",2026-08-26 00:13:06.269031+00:00,0,A
TX10217,USR_1239,ACC_2239,80.66,USD,P2P,MER_146,BEN_927,DEV_192,4fac9047a43ceafc,"Toronto, CA",2026-08-26 00:14:06.269031+00:00,0,A
TX10700,USR_1197,ACC_2197,92.63,USD,WIRE,MER_185,BEN_555,DEV_137,4d2fd16a0ade0912,"Toronto, CA",2026-08-26 00:17:06.269031+00:00,0,A
TX10171,USR_1140,ACC_2140,110.51,USD,ACH,MER_267,BEN_992,DEV_560,f3c751082b63d214,"Sydney, AU",2026-08-26 00:27:06.269031+00:00,0,A
TX10114,USR_1009,ACC_2009,36.86,USD,CARD,MER_250,BEN_849,DEV_641,3db2a3b19d9769cc,"New York, US",2026-08-26 00:27:06.269031+00:00,0,A
TX10084,USR_1182,ACC_2182,90.92,USD,CARD,MER_307,BEN_907,DEV_346,a8f4b31a7881bbaf,"Tokyo, JP",2026-08-26 00:35:06.269031+00:00,0,A
TX10149,USR_1113,ACC_2113,52.55,USD,CARD,MER_222,BEN_883,DEV_838,98eccdccd122648d,"London, UK",2026-08-26 00:38:06.269031+00:00,0,A
TX10169,USR_1289,ACC_2289,146.28,USD,WIRE,MER_153,BEN_960,DEV_777,d86fed0966b732bb,"Toronto, CA",2026-08-26 00:39:06.269031+00:00,0,A
TX10380,USR_1007,ACC_2007,8754.31,USD,P2P,MER_387,BEN_RING_777,DEV_RING_999,fd5dc3897b156800,"Sydney, AU",2026-08-26 00:44:06.269031+00:00,1,D
TX10191,USR_1091,ACC_2091,5.0,USD,WIRE,MER_146,BEN_660,DEV_947,22d65b867187739e,"New York, US",2026-08-26 00:46:06.269031+00:00,0,A
TX11153,USR_1253,ACC_2253,79.65,USD,WIRE,MER_193,BEN_935,DEV_281,017862b631264848,"Toronto, CA",2026-08-26 00:48:06.269031+00:00,0,A
TX10309,USR_1233,ACC_2233,42.87,USD,ACH,MER_225,BEN_624,DEV_666,7a77d66cbd8271ef,"Tokyo, JP",2026-08-26 00:56:06.269031+00:00,0,A
TX10351,USR_1052,ACC_2052,72.89,USD,CARD,MER_383,BEN_656,DEV_911,666c612e2ac1ca57,"Sydney, AU",2026-08-26 01:01:06.269031+00:00,0,A
TX10809,USR_1122,ACC_2122,70.32,USD,WIRE,MER_169,BEN_745,DEV_236,f5a9eef8abf31c92,"London, UK",2026-08-26 01:04:06.269031+00:00,0,A
TX10288,USR_1214,ACC_2214,87.38,USD,WIRE,MER_334,BEN_667,DEV_627,daf2584bc2d0a66d,"Tokyo, JP",2026-08-26 01:06:06.269031+00:00,0,A
TX10634,USR_1278,ACC_2278,71.95,USD,P2P,MER_213,BEN_675,DEV_365,543c9bae8b4186e5,"New York, US",2026-08-26 01:07:06.269031+00:00,0,A
TX10224,USR_1227,ACC_2227,42.85,USD,WIRE,MER_354,BEN_506,DEV_564,5b3522464b586141,"London, UK",2026-08-26 01:16:06.269031+00:00,0,A
TX10946,USR_1058,ACC_2058,62.47,USD,P2P,MER_382,BEN_635,DEV_724,fbabd4fed7536e51,"London, UK",2026-08-26 01:19:06.269031+00:00,0,A
TX10641,USR_1138,ACC_2138,140.0,USD,CARD,MER_274,BEN_580,DEV_594,8d45592dae9f59a0,"Tokyo, JP",2026-08-26 01:24:06.269031+00:00,0,A
TX10056,USR_1132,ACC_2132,105.59,USD,P2P,MER_258,BEN_783,DEV_911,638af4639b73a0ed,"New York, US",2026-08-26 01:24:06.269031+00:00,0,A
TX10395,USR_1188,ACC_2188,5.0,USD,P2P,MER_294,BEN_626,DEV_542,4ef285a84911ce89,"New York, US",2026-08-26 01:28:06.269031+00:00,0,A
TX10083,USR_1137,ACC_2137,1197.28,USD,ACH,MER_379,BEN_607,DEV_NEW_4387,28af3e505676849d,"Toronto, CA",2026-08-26 01:30:06.269031+00:00,0,B
TX10311,USR_1189,ACC_2189,87.39,USD,ACH,MER_385,BEN_684,DEV_469,a15c24663e9716f9,"Tokyo, JP",2026-08-26 01:33:06.269031+00:00,0,A
TX10687,USR_1138,ACC_2138,2446.88,USD,WIRE,MER_347,BEN_NEW_8170,DEV_ATO_9957,0c78ee5257725015,Unknown / Proxy IP,2026-08-26 01:38:06.269031+00:00,1,C
TX10266,USR_1224,ACC_2224,100.64,USD,ACH,MER_303,BEN_520,DEV_888,69fcc96fe39173c6,"Tokyo, JP",2026-08-26 01:44:06.269031+00:00,0,A
TX10174,USR_1083,ACC_2083,144.11,USD,ACH,MER_116,BEN_987,DEV_701,8c6fbb422103eaee,"New York, US",2026-08-26 01:51:06.269031+00:00,0,A
TX10017,USR_1100,ACC_2100,84.22,USD,WIRE,MER_121,BEN_756,DEV_609,65282a365bdcb914,"Sydney, AU",2026-08-26 01:52:06.269031+00:00,0,A
TX10037,USR_1129,ACC_2129,78.18,USD,CARD,MER_160,BEN_698,DEV_421,cab280aa6bbedc20,"New York, US",2026-08-26 01:53:06.269031+00:00,0,A
TX10502,USR_1200,ACC_2200,70.94,USD,WIRE,MER_331,BEN_869,DEV_456,0eaf478a35c62952,"London, UK",2026-08-26 01:54:06.269031+00:00,0,A
